web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665084072-767","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Koriander grootverpakking","https://www.ah.nl/producten/product/wi207077/ah-koriander-grootverpakking","1.39","92 kJ (22 kcal)","Vet0.5 g","Koolhydraten0.9 g","null","Eiwitten2.1 g"
"1665084075-768","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Excellent Juanita cherrytomaten aan de tak","https://www.ah.nl/producten/product/wi165583/ah-excellent-juanita-cherrytomaten-aan-de-tak","2.69","128 kJ (31 kcal)","Vet0.8 g","Koolhydraten4 g","null","Eiwitten0.9 g"
"1665084077-769","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Kilo'tje kriel vastkokend","https://www.ah.nl/producten/product/wi215683/ah-kilo-tje-kriel-vastkokend","2.09","371 kJ (88 kcal)","Vet0 g","Koolhydraten19 g","null","Eiwitten2 g"
"1665084080-770","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Spinazie à la creme","https://www.ah.nl/producten/product/wi178124/ah-spinazie-a-la-creme","1.49","180 kJ (43 kcal)","Vet2 g","Koolhydraten3 g","null","Eiwitten2 g"
"1665084082-771","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Biologisch Witlof","https://www.ah.nl/producten/product/wi186750/ah-biologisch-witlof","2.29","83 kJ (20 kcal)","Vet0.2 g","Koolhydraten2.5 g","null","Eiwitten1.5 g"
"1665084085-772","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Hutspot grootverpakking","https://www.ah.nl/producten/product/wi129681/ah-hutspot-grootverpakking","1.89","146 kJ (35 kcal)","Vet0.3 g","Koolhydraten5.7 g","null","Eiwitten0.9 g"
"1665084088-773","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Gele uien","https://www.ah.nl/producten/product/wi525847/ah-gele-uien","0.99","158 kJ (38 kcal)","Vet0.2 g","Koolhydraten6.3 g","null","Eiwitten1.3 g"
"1665084090-774","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Snoepgroente Worteltjes","https://www.ah.nl/producten/product/wi435427/ah-snoepgroente-worteltjes","2.65","139 kJ (33 kcal)","Vet0.3 g","Koolhydraten5.5 g","null","Eiwitten0.7 g"
"1665084093-775","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Salade erbij italiaanse mix","https://www.ah.nl/producten/product/wi128130/ah-salade-erbij-italiaanse-mix","3.49","515 kJ (124 kcal)","Vet8.9 g","Koolhydraten5.2 g","null","Eiwitten5 g"
"1665084095-776","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Rucola slamelange grootverpakking","https://www.ah.nl/producten/product/wi155598/ah-rucola-slamelange-grootverpakking","2.29","91 kJ (22 kcal)","Vet0.3 g","Koolhydraten1.1 g","null","Eiwitten2.7 g"
"1665084097-777","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Salade erbij Caesar mix","https://www.ah.nl/producten/product/wi120877/ah-salade-erbij-caesar-mix","3.49","506 kJ (122 kcal)","Vet8.2 g","Koolhydraten5.2 g","null","Eiwitten6.4 g"
