web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665133712-837","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Johma & HEKS'NKAAS® borrelpakket","https://www.ah.nl/producten/product/wi526101/johma-en-heks-nkaasr-borrelpakket","7.89","null","null","null","null","null"
"1665133715-838","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Mister Kitchen's Vegan uncheesed crackers original","https://www.ah.nl/producten/product/wi518052/mister-kitchen-s-vegan-uncheesed-crackers-original","2.99","1979 kJ (473 kcal)","Vet20.9 g","Koolhydraten51 g","Prijs per KG € 19,93","Eiwitten15.1 g"
"1665133717-839","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","BioToday Peanutbutter crunchy bio","https://www.ah.nl/producten/product/wi507907/biotoday-peanutbutter-crunchy-bio","3.05","2441 kJ (590 kcal)","Vet49 g","Koolhydraten7.6 g","Prijs per KG € 12,20","Eiwitten26 g"
"1665133719-840","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Streeckgenoten Fryske belegen","https://www.ah.nl/producten/product/wi506073/streeckgenoten-fryske-belegen","4.44","1814 kJ (438 kcal)","Vet38 g","Koolhydraten0 g","Prijs per KG € 14,99","Eiwitten24 g"
"1665133722-841","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Honinghuis Hollandse Streek honing","https://www.ah.nl/producten/product/wi450805/honinghuis-hollandse-streek-honing","6.49","1369 kJ (325 kcal)","Vet0 g","Koolhydraten80.5 g","Prijs per KG € 18,54","Eiwitten0.4 g"
"1665133724-842","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Mister Kitchen's Pindakaas kokos maple palmolievrij","https://www.ah.nl/producten/product/wi413604/mister-kitchen-s-pindakaas-kokos-maple-palmolievrij","3.89","2421 kJ (580 kcal)","Vet48.2 g","Koolhydraten14.3 g","Prijs per KG € 12,97","Eiwitten21.9 g"
"1665133727-843","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Alif Kip kerriesalade","https://www.ah.nl/producten/product/wi534794/alif-kip-kerriesalade","2.79","1561.5 kJ (378.4 kcal)","Vet36.6 g","Koolhydraten5.6 g","Prijs per KG € 18,60","Eiwitten6.4 g"
"1665133729-844","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Alif Kipsaté salade","https://www.ah.nl/producten/product/wi534298/alif-kipsate-salade","2.79","1099.2 kJ (264.7 kcal)","Vet18.2 g","Koolhydraten14.2 g","Prijs per KG € 18,60","Eiwitten10.5 g"
"1665133732-845","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Whole Earth Drizzler golden roasted peanut butter","https://www.ah.nl/producten/product/wi532223/whole-earth-drizzler-golden-roasted-peanut-butter","3.49","2470 kJ (596 kcal)","Vet46 g","Koolhydraten12 g","Prijs per KG € 10,91","Eiwitten30 g"
"1665133734-846","https://www.ah.nl/producten/ontbijtgranen-en-beleg?minPrice=2.5&maxPrice20&page=40","Johma salades borrel pakket","https://www.ah.nl/producten/product/wi526099/johma-salades-borrel-pakket","7.49","null","null","null","null","null"
