,product name,base price,Kcal/100g,fat/100g,carb/100g,protein/100g,€/100g or ml,protein/Kcal
3554,Galbani Mozzarella latte di bufala mini,3.19,285.0,25.0,,14.0,2.12,0.04912280701754386
3555,Zanetti Bio burrata,3.19,246.0,23.0,0.8,9.1,2.55,0.03699186991869918
3556,AH Yorkham peper,2.52,136.0,,2.7,20.0,2.8899999999999997,0.14705882352941177
3557,Johma plantaardige tonijn salade,3.19,472.0,47.0,5.8,,1.8199999999999998,
3558,Johma Plantaardige kip-samba salade,3.19,396.0,34.6,14.6,5.6,1.8199999999999998,0.01414141414141414
3559,Milner Jong belegen 25+ geraspt,3.19,263.0,15.0,1.9,30.0,2.12,0.11406844106463879
3560,AH Roasted bacon,3.19,249.0,18.0,0.8,21.0,2.65,0.08433734939759036
3561,Maaslander Jong 50+ plakken,3.19,383.0,32.5,,22.6,1.59,0.059007832898172324
3562,AH Vitello tonnato filet,3.19,228.0,18.0,2.4,14.0,2.12,0.06140350877192982
3563,Port Salut Vol en soepel,2.87,320.0,26.0,0.5,21.0,1.7399999999999998,0.065625
3564,Costa Ligure Pesto genovese bio,3.19,618.0,66.0,,2.1,2.3600000000000003,0.0033980582524271844
3565,AH Carpaccio,3.19,154.0,8.5,1.3,18.0,2.65,0.11688311688311688
3566,AH Prosciutto di parma,3.19,253.0,16.0,0.3,27.0,3.54,0.1067193675889328
3567,AH Scharrel kipfilet tuinkruiden,3.19,130.0,5.5,,17.0,2.55,0.13076923076923078
3568,AH Scharrel kipfilet pittig,3.19,123.0,4.5,1.5,19.0,2.55,0.15447154471544716
3569,AH Excellent Serrano ham gran reserva,3.19,265.0,15.0,0.5,32.0,3.9899999999999998,0.12075471698113208
3570,AH Excellent Feta barrel aged 48+,3.19,257.0,21.0,,17.0,2.12,0.06614785992217899
3571,AH Excellent Salami met zomertruffel,3.19,367.0,29.0,0.5,26.0,3.9899999999999998,0.07084468664850137
3572,AH Biologisch Gorgonzola 55+,3.19,325.0,28.0,,18.0,1.8699999999999999,0.055384615384615386
3573,Arla Lactofree roomkaas,3.19,190.0,16.0,3.3,7.8,1.59,0.04105263157894737
3574,CasArrigoni Taleggio,3.19,315.0,26.0,0.9,19.0,1.77,0.06031746031746032
3575,AH Greenfields Runderrookvlees,3.19,115.0,,0.8,23.0,3.19,0.2
3576,AH Gegrilde yorkham,2.52,132.0,5.5,2.5,18.0,2.8899999999999997,0.13636363636363635
3578,AH Kalkoenfilet,3.19,102.0,1.5,,21.0,2.0100000000000002,0.20588235294117646
3581,Beemster Oud 30+ plakken,3.19,310.0,19.8,,33.1,2.12,0.1067741935483871
3582,Beemster Oud 48+ plakken,3.19,404.0,33.2,,26.3,2.12,0.0650990099009901
3583,AH Goudse jong belegen 30+ geraspt,3.19,273.0,17.0,,28.0,2.12,0.10256410256410256
3584,Streeckgenoten Pepercervelaat,3.18,313.0,26.0,,18.0,2.65,0.05750798722044728
3585,AH Gegrilde beenham,3.17,160.0,,,21.0,2.88,0.13125
3589,AH Zaanlander Jong belegen 35+ plakken,2.37,284.0,20.0,,26.0,1.85,0.09154929577464789
3590,Streeckgenoten Gerookte kipsalade,3.15,389.0,39.1,,8.3,2.25,0.021336760925449873
3591,AH Roasted ham,3.15,168.0,,,23.0,2.9899999999999998,0.13690476190476192
3592,Johma Kip-sat salade,3.15,306.0,22.3,16.3,9.4,1.8,0.030718954248366015
3593,AH Goudse komijn belegen 48+ plakken,3.15,384.0,32.0,,24.0,1.65,0.0625
3594,AH Goudse extra belegen 48+ plakken,3.15,401.0,33.0,,26.0,1.65,0.06483790523690773
3595,AH Goudse belegen 30+ plakken,3.15,299.0,19.0,,32.0,1.65,0.10702341137123746
3596,AH Scharrel kipfilet pesto,3.12,110.0,2.3,2.1,20.0,2.4899999999999998,0.18181818181818182
3597,Castello Danablue,3.12,340.0,29.0,0.1,20.0,1.59,0.058823529411764705
3598,Streeckgenoten Biologische boterhamworst,3.11,197.0,15.0,0.4,15.0,2.59,0.07614213197969544
3599,Streeckgenoten Groningse leverworst fijn,3.1,207.0,14.2,2.5,17.0,1.24,0.0821256038647343
3600,Grand' Italia Pasta pesto peperoni e noci,3.09,331.0,33.0,4.5,3.5,1.67,0.010574018126888218
3601,Streeckgenoten Blauwe Brabander,2.78,465.0,43.0,,20.0,2.13,0.043010752688172046
3602,Streeckgenoten Utrechts rood 55+,3.09,345.0,30.0,0.1,19.0,2.08,0.05507246376811594
3603,AH Slagersachterham,3.09,126.0,6.7,2.4,14.0,2.06,0.1111111111111111
3604,Milner Jong belegen 20+ plakken,3.09,235.0,12.0,,31.0,1.7600000000000002,0.13191489361702127
3605,Grand' Italia Pasta Pesto Tartufo,3.09,336.0,29.0,13.0,5.1,1.67,0.015178571428571427
3606,Johma Beenham salade,3.09,337.0,31.3,7.9,5.4,1.7600000000000002,0.016023738872403562
3607,Grand' Italia Pesto piccante,3.09,319.0,30.0,6.5,4.8,1.67,0.015047021943573668
3608,De Zaanse Hoeve Jong belegen 30+ plakken,3.09,295.0,19.0,,31.0,1.03,0.10508474576271186
3609,Johma Oudekaas salade,3.09,446.0,43.3,5.4,8.2,1.7600000000000002,0.018385650224215244
3610,Grand' Italia Pesto rosso,3.09,384.0,36.0,8.4,5.8,1.67,0.015104166666666667
3611,Grand' Italia Pesto alla Genovese,3.09,431.0,41.0,9.6,5.4,1.67,0.012529002320185615
3613,Cheestrings Original,3.09,304.0,22.5,2.5,23.0,1.83,0.0756578947368421
3614,AH Goudse jong 48+ blokjes,3.09,362.0,30.0,,23.0,1.54,0.06353591160220995
3615,AH Yorkham,2.52,130.0,5.5,,18.0,2.79,0.13846153846153847
3616,Streeckgenoten Amsterdams pekelvlees,3.06,135.0,,0.6,20.0,2.7800000000000002,0.14814814814814814
3617,Streeckgenoten Pastrami,3.06,147.0,,,20.0,2.7800000000000002,0.1360544217687075
3618,Maza Hoemoes XL,3.05,332.0,30.4,6.1,6.4,0.8699999999999999,0.01927710843373494
3619,Streeckgenoten Deelen Friese nagelkaas,3.01,415.0,35.0,,25.0,1.6199999999999999,0.060240963855421686
3620,AH Spaanse besos de fuet,3.0,500.0,44.0,,24.0,3.4799999999999995,0.048
3621,AH Kipcordonbleu balletjes,3.0,163.0,8.3,3.6,18.0,3.0,0.11042944785276074
3622,AH Dolmades,3.0,142.0,6.8,17.0,2.3,2.5,0.01619718309859155
3623,AH Gehaktballetjes albondigas,3.0,174.0,11.0,7.3,11.0,2.0,0.06321839080459771
3624,AH Spaanse mini fuet kaas,3.0,527.0,47.0,,24.0,3.4799999999999995,0.04554079696394687
3625,AH Ansjovis pittig,3.0,282.0,23.0,2.4,16.0,3.3299999999999996,0.05673758865248227
3626,AH Wrap kip pesto paprika,3.0,289.0,17.0,26.0,6.9,2.17,0.02387543252595156
3627,AH Coppa rolletje met roomkaas truffel,3.0,329.0,31.0,1.5,11.0,4.279999999999999,0.03343465045592705
3628,AH Truffelsalami met Parmezaanse kaas,3.0,416.0,35.0,,23.0,5.0,0.055288461538461536
3629,AH Trio van tapenade,3.0,343.0,35.0,3.9,1.3,1.6600000000000001,0.0037900874635568515
3630,AH Kipfiletrolletjes roomkaas-tuinkruiden,3.0,216.0,17.0,1.5,14.0,3.5200000000000005,0.06481481481481481
3631,AH Hummus pesto,3.0,270.0,23.0,5.5,7.8,1.7100000000000002,0.028888888888888888
3632,AH Gatenkaas blokjes,3.0,343.0,27.0,,25.0,1.8699999999999999,0.0728862973760933
3633,AH Goudse oud kaasblokjes 48+,3.0,436.0,36.0,,28.0,1.8699999999999999,0.06422018348623854
3634,AH Ansjovis,3.0,284.0,23.0,2.3,17.0,3.3299999999999996,0.05985915492957746
3635,AH Spaanse fuet met truffel,3.0,414.0,30.0,,33.0,3.75,0.07971014492753623
3636,AH Vegan naturel balletjes,3.0,158.0,8.9,8.1,9.6,2.7199999999999998,0.060759493670886074
3637,AH Goudse kaasblokjes jong komijn 48+,3.0,371.0,31.0,,23.0,1.8699999999999999,0.06199460916442048
3638,AH Biologisch Basilicum pesto,3.0,472.0,47.0,4.8,,3.75,
3639,AH Volgerijpte Limburgse cervelaat,3.0,384.0,33.0,0.7,21.0,2.1399999999999997,0.0546875
3640,AH Groene olijven met basilicum,3.0,247.0,26.0,0.9,0.8,1.15,0.003238866396761134
3641,AH Serranohamrolletjes met roomkaas,3.0,298.0,25.0,1.2,17.0,3.5200000000000005,0.05704697986577181
3642,AH Coppa rolletjes met roomkaas en vijg,3.0,323.0,27.0,8.1,11.0,4.279999999999999,0.034055727554179564
3643,AH Spianata Romana met Roomkaas,3.0,340.0,32.0,,11.0,4.279999999999999,0.03235294117647059
3644,AH Salami met geitenkaas,3.0,326.0,28.0,1.4,17.0,4.0,0.05214723926380368
3645,AH Spekrolletjes met roomkaas,3.0,308.0,28.0,1.1,13.0,3.5200000000000005,0.04220779220779221
3646,AH Groene pesto,3.0,583.0,60.0,,6.1,3.3299999999999996,0.0104631217838765
3647,AH Spaanse fuet,3.0,415.0,31.0,,31.0,3.3299999999999996,0.0746987951807229
3648,AH Spaanse lomo,3.0,278.0,12.0,2.5,40.0,4.279999999999999,0.14388489208633093
3649,Argal Fuet extra met truffel,2.99,443.0,36.0,2.8,27.0,1.9899999999999998,0.060948081264108354
3650,Amsterdammertje,2.99,157.0,,0.5,18.5,1.49,0.1178343949044586
3651,Argal Chorizo doux,2.99,489.0,45.0,,18.0,1.49,0.03680981595092025
3652,Argal Chorizo pikant,2.99,489.0,45.0,,18.0,1.49,0.03680981595092025
3653,Bifi 100% Turkey 6-pack,2.99,520.0,45.2,1.7,26.7,2.4899999999999998,0.05134615384615385
3654,AH Biologisch Roasted rib,2.99,154.0,7.7,2.2,19.0,2.9899999999999998,0.12337662337662338
3655,Beemster Extra belegen 48+ plakken,2.99,396.0,32.5,,25.8,1.9899999999999998,0.06515151515151515
3656,Bonmush Vegan curry ananas,2.99,287.0,28.0,5.3,1.1,2.21,0.0038327526132404185
3657,Bonmush Veggie honeyham musterd,2.99,350.0,31.0,13.0,5.4,2.21,0.01542857142857143
3658,AH Excellent Truffel paté,2.99,314.0,28.0,5.5,9.4,2.29,0.029936305732484077
3659,Ferretti Vegotta plantaardige ricotta,2.99,179.0,15.9,8.3,,1.3199999999999998,
3660,Johma plantaardige kip kerrie salade,2.99,370.0,33.8,10.1,,1.7,
3661,Dodoni Plant'd greek white,2.99,248.0,18.0,20.0,1.5,1.49,0.006048387096774193
3662,AH Borrelkaas brandnetel knoflook smaak,2.99,420.0,36.0,,24.0,1.9899999999999998,0.05714285714285714
3663,AH Borrelkaas chili smaak,2.99,420.0,36.0,,24.0,1.9899999999999998,0.05714285714285714
3664,AH Borrelkaas mediterraanse smaak,2.99,420.0,36.0,,24.0,1.9899999999999998,0.05714285714285714
3665,AH Filet Americain truffel,2.99,362.0,32.0,2.5,16.0,1.9899999999999998,0.04419889502762431
3666,Stegeman Chorizo sticks,2.99,506.0,42.0,,28.0,2.4899999999999998,0.05533596837944664
3667,Argal Chorizo ring pamplona,2.99,466.0,42.0,,19.0,1.49,0.0407725321888412
3668,AH Excellent Tapas,2.99,297.0,19.0,1.5,30.0,2.9899999999999998,0.10101010101010101
3669,Apetina White cheese in brine,2.99,260.0,22.0,0.5,15.0,0.6900000000000001,0.057692307692307696
3670,AH Zaanlander Oud 48+ schuitje,2.24,423.0,35.0,,27.0,1.3800000000000001,0.06382978723404255
3671,Streeckgenoten Ei-bieslooksalade,2.99,280.0,24.7,6.1,8.2,2.13,0.029285714285714283
3672,Président Bio brie,2.99,347.0,31.0,0.1,17.0,1.9899999999999998,0.04899135446685879
3673,AH Biologisch Salami milano,2.99,358.0,28.0,0.5,26.0,4.2700000000000005,0.07262569832402235
3675,Paturain Kruiden,2.99,348.0,34.5,2.3,,1.9899999999999998,
3676,De Zaanse Hoeve Jong belegen 48+ blokjes,2.99,353.0,29.0,,23.0,1.19,0.06515580736543909
3677,Johma Gevuld eitje salade,2.99,390.0,38.7,3.9,6.1,1.7,0.01564102564102564
3678,AH Le Marcaire,2.69,327.0,27.0,,20.0,2.18,0.06116207951070336
3679,AH Roombrie 60+,2.69,347.0,31.0,,17.0,1.35,0.04899135446685879
3680,AH Plak schouderham,2.99,108.0,2.5,,16.0,1.86,0.14814814814814814
3681,AH Excellent Prosciutto crudo,2.99,226.0,13.0,0.3,27.0,3.3200000000000003,0.11946902654867257
3682,AH Pepercervelaat,2.99,353.0,31.0,0.5,18.0,2.4899999999999998,0.05099150141643059
3683,AH Excellent Salame milano,2.99,358.0,28.0,0.5,26.0,3.7299999999999995,0.07262569832402235
3684,AH Excellent Porchetta,2.99,170.0,10.0,0.8,19.0,2.9899999999999998,0.11176470588235295
3685,Huls Boerenjongens naturel,2.99,509.0,43.3,,28.9,2.4699999999999998,0.056777996070726915
3686,Huls Boerenjongens kruidnagel,2.99,512.0,43.5,,29.0,2.4699999999999998,0.056640625
3688,AH Fricandeau,2.99,193.0,9.9,,25.0,2.71,0.12953367875647667
3689,Stegeman Fuet ambachtelijk,2.99,498.0,42.0,,28.0,2.3,0.05622489959839357
3690,Smaeck Creme Americain Mediterraan,2.99,292.0,24.1,6.1,10.6,1.9899999999999998,0.036301369863013695
3691,Smaeck Creme Americain Naturel,2.99,280.0,23.3,5.7,10.0,1.9899999999999998,0.03571428571428571
3692,AH Roasted kipfilet,2.99,,,,,2.71,
3693,AH Biologisch Grillworst plakje,2.99,244.0,19.0,,14.0,2.3899999999999997,0.05737704918032787
3694,Stegeman Fuet ambachtelijk sticks multipack,2.99,498.0,42.0,,28.0,2.4899999999999998,0.05622489959839357
3695,BioToday Veggie spread tomaat-courgette,2.99,75.0,2.1,10.0,2.9,1.86,0.03866666666666667
3696,AH Filet americain ei en ui,2.99,315.0,28.0,,13.0,1.9899999999999998,0.04126984126984127
3697,AH Scharrel flinterdunne kipfilet,2.99,109.0,2.3,1.8,20.0,2.71,0.1834862385321101
3698,AH Filet americain carpaccio,2.99,251.0,20.0,2.8,15.0,1.9899999999999998,0.05976095617529881
3699,AH Filet americain mager,2.99,215.0,17.0,,14.0,1.9899999999999998,0.06511627906976744
3700,AH Filet americain met ui,2.99,199.0,16.0,2.4,11.0,1.9899999999999998,0.05527638190954774
3701,AH Filet americain peper,2.99,255.0,21.0,,13.0,1.9899999999999998,0.050980392156862744
3702,AH Wijncervelaat,2.99,334.0,29.0,0.2,18.0,2.4899999999999998,0.05389221556886228
3703,AH Franse Gruyere geraspt,2.99,408.0,32.0,,28.0,1.9899999999999998,0.06862745098039216
3705,Johma Surimi-krab salade,2.99,275.0,20.8,15.7,4.2,1.7,0.015272727272727273
3706,Johma Tonijnsalade,2.99,350.0,31.6,2.7,13.3,1.7,0.038
3707,Johma Frisse tonijnsalade,2.99,282.0,23.3,6.6,11.1,1.7,0.039361702127659576
3708,AH Excellent Orginele spaanse chorizo,2.99,515.0,47.0,,23.0,1.49,0.04466019417475728
3709,Dodoni Orginele Griekse feta 48+,2.99,257.0,21.0,,17.0,1.9899999999999998,0.06614785992217899
3710,Uildriks Hausmacher,2.99,277.0,22.9,2.3,15.56,1.19,0.05617328519855596
3711,De Zaanse Hoeve Belegen 48+ plakken,2.99,385.0,32.0,,24.0,1.19,0.06233766233766234
3712,Pas brabantse metworst,2.99,250.0,18.4,0.2,20.7,1.49,0.0828
3713,Stegeman Rundercervelaat,2.99,510.0,47.0,0.2,21.0,1.49,0.041176470588235294
3714,AH Kalfsfilet met uitjes,2.99,232.0,20.0,3.3,9.4,1.9899999999999998,0.04051724137931035
3715,AH Tartaar met uitjes,2.99,107.0,4.7,2.8,13.0,1.9899999999999998,0.12149532710280374
3716,Vocking Leverworst,2.99,296.0,20.4,14.6,13.1,0.5900000000000001,0.044256756756756756
3717,Galbani Mascarpone,2.99,403.0,41.0,,4.5,1.19,0.011166253101736972
3718,Galbani Ricotta,2.99,164.0,12.0,,,1.19,
3719,AH Biologisch Jong 50+ plakken,2.99,367.0,31.0,,22.0,1.5699999999999998,0.05994550408719346
3720,Apetina White cheese in brine 50% less fat,2.99,162.0,10.0,0.5,17.0,1.49,0.10493827160493827
3721,AH Kalkoenborstfilet,2.99,100.0,1.9,0.6,20.0,2.3899999999999997,0.2
3722,AH Goudse belegen 48+ plakken,2.99,388.0,32.0,,25.0,1.5699999999999998,0.06443298969072164
3723,Apetina White cheese herbs & spices,2.99,540.0,55.0,0.5,10.0,1.9899999999999998,0.018518518518518517
3726,Emmi Raclette pure classic,2.99,347.0,27.0,0.1,25.0,1.49,0.07204610951008646
3727,Zanetti Mozzarella di bufala campana,2.99,247.0,21.0,0.5,14.0,2.3899999999999997,0.05668016194331984
3728,AH Gelderse gekookte worst,2.99,287.0,24.0,5.8,12.0,1.19,0.041811846689895474
3729,AH Goudse jong belegen 30+ plakken,2.99,282.0,18.0,,30.0,1.5699999999999998,0.10638297872340426
3731,AH Achterham,2.99,102.0,2.1,4.8,16.0,1.9899999999999998,0.1568627450980392
3732,AH Blue d'Auvergne 50+,2.97,326.0,26.0,,22.0,1.7399999999999998,0.06748466257668712
3733,Streeckgenoten Limburgse achterham,2.96,134.0,6.3,0.8,18.5,2.69,0.13805970149253732
3734,AH Biologisch Biologische rode pesto,2.95,465.0,46.0,,5.5,2.18,0.011827956989247311
3735,Streeckgenoten Limb boterhamworstje,2.95,297.0,27.0,3.7,12.0,1.1800000000000002,0.04040404040404041
3736,Johma Kip-mango salade,2.95,429.0,40.7,,5.9,1.6800000000000002,0.013752913752913754
3737,AH Biologisch Groene pesto,2.95,650.0,70.0,0.7,,2.18,
3739,Streeckgenoten Gerookte kipfilet,2.94,141.0,,0.8,19.0,2.45,0.1347517730496454
3740,Streeckgenoten Bourgondisch rib,2.9,131.0,3.7,3.2,21.1,2.63,0.16106870229007636
3741,AH Excellent Coulommiers,2.9,270.0,22.0,,18.0,1.54,0.06666666666666667
3742,AH Excellent Filet d'Ardenne,2.89,143.0,,0.9,28.0,2.8899999999999997,0.1958041958041958
3743,Beemster Belegen 48+ plakken,2.89,387.0,31.8,,25.2,1.92,0.06511627906976744
3744,AH Taggia olijven,2.89,502.0,55.0,0.6,0.7,2.1399999999999997,0.001394422310756972
3745,AH Witlofham,2.89,102.0,2.1,4.8,16.0,1.92,0.1568627450980392
3747,AH Truffel tapenade,2.89,415.0,29.0,18.0,13.0,1.9899999999999998,0.03132530120481928
3748,AH Filet americain,2.89,250.0,21.0,,13.0,1.92,0.052
3749,AH Biologisch Filet americain,2.89,264.0,22.0,2.1,14.0,2.4,0.05303030303030303
3751,AH Flinterdunne gegrilde beenham,2.89,106.0,2.5,0.9,20.0,2.8899999999999997,0.18867924528301888
3752,Zandvliet Gelderse gekookte worst,2.89,312.0,29.0,2.8,10.0,0.5700000000000001,0.03205128205128205
3753,Meester & Zn. Runderrookvlees,2.89,117.0,,0.5,22.0,2.8899999999999997,0.18803418803418803
3754,AH Goudse jong komijn 48+ plakken,2.89,362.0,30.0,,23.0,1.52,0.06353591160220995
3755,Président Le brie,2.89,347.0,31.0,0.5,17.0,1.44,0.04899135446685879
3756,AH Goudse jong belegen 48+ plakken,2.89,375.0,31.0,,24.0,1.52,0.064
3757,AH Leverworst,2.89,249.0,20.0,2.7,14.0,0.5700000000000001,0.05622489959839357
3758,Danone Hüttenkäse original,2.89,90.0,3.9,1.6,12.0,0.72,0.13333333333333333
3759,AH Tostiham,2.88,97.0,2.1,4.5,15.0,1.92,0.15463917525773196
3760,AH Rundersalami,2.87,373.0,34.0,1.6,15.0,2.3899999999999997,0.040214477211796246
3761,Streeckgenoten Friese droge worst,2.87,419.0,35.8,2.6,21.7,2.3899999999999997,0.05178997613365155
3762,AH Rundertong,2.87,301.0,25.0,0.7,18.0,2.4899999999999998,0.059800664451827246
3763,Streeckgenoten Slagers achterham,2.86,133.0,5.4,1.1,20.0,2.6,0.15037593984962405
3764,AH Jamon serrano,2.86,210.0,10.0,0.1,30.0,2.8600000000000003,0.14285714285714285
3765,Beemster Belegen 30+ plakken,2.85,292.0,18.6,,31.1,1.9,0.1065068493150685
3766,Passendale Caractere 48+ vvp,2.85,352.0,28.0,,25.0,1.77,0.07102272727272728
3767,AH Excellent Chorizo Iberico,2.85,430.0,36.0,0.4,26.0,3.55,0.06046511627906977
3768,Johma Surinaamse ei salade,2.85,288.0,25.7,5.2,8.5,1.6199999999999999,0.029513888888888888
3769,Johma Kip-kerrie salade,2.85,245.0,19.0,8.4,9.6,1.6199999999999999,0.03918367346938775
3770,Boursin Sjalot & bieslook,2.85,404.0,40.0,2.5,8.5,1.9,0.02103960396039604
3771,Zandvliet Runder kookworst,2.85,224.0,17.0,3.5,14.3,0.8099999999999999,0.06383928571428572
3772,AH Mini cervelaat,2.85,534.0,48.0,0.5,25.0,1.42,0.04681647940074907
3773,MonChou Verse roomkaas,2.85,257.0,24.0,3.3,6.5,1.42,0.02529182879377432
3774,Streeckgenoten Droge worst Veluws,2.84,289.0,23.0,1.6,19.0,1.89,0.0657439446366782
3776,Streeckgenoten Volendammer ham,2.81,125.0,,,19.0,2.55,0.152
3777,Streeckgenoten Ovengebakken kipfilet,2.8,135.0,6.5,1.3,17.0,2.33,0.1259259259259259
3778,Argal Fuet tradicin,2.79,430.0,36.0,2.5,24.0,1.64,0.05581395348837209
3779,AH Biologisch Ricotta,2.79,156.0,12.0,,,1.1099999999999999,
3780,Philadelphia Original XL,2.79,225.0,21.0,4.3,5.4,0.93,0.024
3782,Streeckgenoten Magere cervelaat,2.79,274.0,21.2,0.2,21.7,2.32,0.0791970802919708
3783,Beemster Jong belegen 48+ plakken,2.79,381.0,31.3,,24.8,1.86,0.06509186351706037
3784,AH Gormas 70+,2.51,403.0,39.0,0.9,12.0,1.86,0.02977667493796526
3785,Snaqs Fried Shiitake,2.79,456.0,14.0,63.5,10.6,6.970000000000001,0.02324561403508772
3786,Bifi Roll 3-pack,2.79,459.0,31.0,31.0,14.0,2.06,0.030501089324618737
3787,Old Amsterdam Belegen plakken,2.79,402.0,33.5,,25.0,1.9899999999999998,0.06218905472636816
3788,Old Amsterdam Roomkaas original,2.79,297.0,26.4,4.2,10.7,2.23,0.036026936026936025
3789,St Moret Roomkaas,2.79,207.0,17.8,3.5,8.3,1.86,0.04009661835748793
3790,Bifi Minis multipack,2.79,509.0,45.0,,25.0,2.79,0.04911591355599214
3791,AH Biologisch Cranberry paté,2.79,361.0,31.0,8.4,12.0,1.9899999999999998,0.0332409972299169
3792,AH Kipgrillworst,2.79,220.0,16.0,,13.0,0.79,0.05909090909090909
3793,AH Plantaardige spread cashew jalapeno,2.79,302.0,23.0,13.0,9.7,1.86,0.032119205298013244
3794,Beemster Jong belegen 30+ plakken,2.79,286.0,18.2,,30.5,1.86,0.10664335664335664
3795,Maza Hoemoes spicy mango,2.79,277.0,18.6,21.1,4.7,1.3900000000000001,0.01696750902527076
3796,Alif Kip kerriesalade,2.79,378.4,36.6,5.6,6.4,1.86,0.016913319238900635
3797,Alif Kipsaté salade,2.79,264.7,18.2,14.2,10.5,1.86,0.039667548167737064
3798,AH Biologisch Roompate,2.79,361.0,31.0,8.4,12.0,1.9899999999999998,0.0332409972299169
3799,AH Excellent Spaanse fuet,2.79,429.0,35.0,3.5,25.0,1.7399999999999998,0.05827505827505827
3800,Heks'nkaas Origineel,2.79,402.0,39.2,9.7,1.9,1.86,0.00472636815920398
3802,AH Excellent SPIANATA ROMANA,2.79,383.0,31.0,0.9,25.0,2.79,0.06527415143603134
3803,AH Palingworst,2.79,281.0,23.0,5.5,13.0,1.3900000000000001,0.046263345195729534
3804,Galbani Mozzarella di latte di Bufala,2.79,262.0,23.0,0.7,13.0,2.23,0.04961832061068702
3806,Josef Dettelbacher Gegrild gehakt,2.79,304.0,26.2,3.6,13.5,1.1099999999999999,0.044407894736842105
3807,AH Gevulde brie met kruiden,2.78,342.0,30.0,,14.0,1.29,0.04093567251461988
3808,AH Trio kaasdip,2.75,251.0,7.7,43.0,1.6,1.52,0.006374501992031873
3809,AH Trio sausdipper lente,2.75,452.0,45.0,10.0,1.5,1.52,0.00331858407079646
3810,AH Olijven duo kalamata en basilicum,2.75,282.0,29.0,2.9,1.2,2.29,0.00425531914893617
3811,AH Hummus truffel,2.75,234.0,18.0,5.2,7.2,1.5699999999999998,0.03076923076923077
3812,AH Varkensrollade shoarma,2.75,245.0,19.0,1.4,17.0,2.4899999999999998,0.06938775510204082
3814,AH Hummus zoete peper,2.75,221.0,11.0,19.0,5.9,1.5699999999999998,0.026696832579185523
3816,AH Hummus trio,2.75,259.0,20.0,,7.2,1.52,0.0277992277992278
3817,AH Goudse blokjes jong belegen 48+,2.75,375.0,31.0,,24.0,1.7100000000000002,0.064
3818,AH Hummus gegrilde groente,2.75,147.0,6.7,8.3,7.3,1.5699999999999998,0.04965986394557823
3819,AH Excellent Warm gerookte forelsalade,2.75,428.0,42.0,0.4,12.0,1.83,0.028037383177570093
3820,AH Biologisch Hummus,2.75,236.0,18.0,9.7,6.5,1.5699999999999998,0.02754237288135593
3821,Royal Kalamata olijven zonder pit,2.75,278.0,29.5,1.4,1.7,2.6100000000000003,0.006115107913669065
3822,AH Roomkaas met sweetpepper,2.75,368.0,34.0,11.0,4.3,2.2,0.011684782608695652
3823,AH Hummus pumpkin spice,2.75,155.0,9.2,8.7,4.8,1.5699999999999998,0.03096774193548387
3824,AH Trio aioli,2.75,735.0,80.0,2.3,1.2,1.52,0.0016326530612244896
3825,AH Dadels met roomkaas,2.75,,,,,2.75,
3826,Costa Ligure Pesto limone,2.75,652.0,66.9,1.9,,2.0300000000000002,
3827,AH Excellent Genovese pesto,2.75,637.0,66.0,3.7,5.8,2.0300000000000002,0.009105180533751962
3828,AH Cervelaat,2.75,301.0,24.0,0.2,21.0,2.29,0.06976744186046512
3829,Castello Creamy blue,2.75,431.0,42.0,0.5,13.0,1.83,0.030162412993039442
3830,AH Fijne cervelaat,2.75,477.0,43.0,0.5,22.0,1.1,0.04612159329140461
3831,AH Goudse jong 48+,2.75,360.0,30.0,,23.0,1.44,0.06388888888888888
3832,AH Ossenworst,2.75,160.0,,0.5,19.0,2.29,0.11875
3833,AH Biologisch Salami,2.75,371.0,32.0,1.6,19.0,2.4899999999999998,0.05121293800539083
3834,AH Biefstukworst plakjes,2.74,106.0,2.6,0.5,20.0,2.65,0.18867924528301888
3836,AH Groene peper cremepate,2.72,267.0,24.0,4.2,8.2,1.58,0.03071161048689138
3837,AH Plak crèmepaté,2.72,261.0,23.0,4.3,9.1,1.58,0.03486590038314176
3838,AH Ardenner pate groene peper,2.72,283.0,25.0,1.9,12.0,1.58,0.04240282685512368
3839,AH Cranberry paté,2.72,321.0,25.0,16.0,7.4,1.58,0.023052959501557634
3840,AH Ardennerpate,2.72,296.0,25.0,4.2,13.0,1.58,0.04391891891891892
3841,Beemster Jong 48+ plakken,2.69,375.0,30.8,,24.4,1.7899999999999998,0.06506666666666666
3842,Streeckgenoten Buffelmozzarella bocconcini,2.69,294.0,23.0,,15.0,2.15,0.05102040816326531
3843,AH Grana Padano poeder,2.69,398.0,29.0,,33.0,1.7899999999999998,0.0829145728643216
3844,Beemster 30+ Plak jong,2.69,281.0,17.9,,30.0,1.7899999999999998,0.10676156583629894
3845,AH Plantaardige spread cashew,2.69,283.0,21.0,13.0,9.4,1.7899999999999998,0.033215547703180213
3847,Boursin Knoflook & fijne kruiden,2.69,311.0,30.5,2.5,6.5,2.15,0.02090032154340836
3848,Bonne Vache Smeerkaaspuntjes,2.69,240.0,19.5,8.5,7.5,0.67,0.03125
3849,AH Biologisch Buffelmozzarella 52+,2.69,245.0,21.0,0.5,14.0,2.15,0.05714285714285714
3850,Meester & Zn. Rauwe Ham,2.69,225.0,15.0,0.6,22.0,1.34,0.09777777777777778
