,product name,base price,Kcal/100g,fat/100g,carb/100g,protein/100g,€/100g or ml,protein/Kcal
1001,Seasogood Visvrije tonijn tomaat,3.19,130.0,6.6,4.6,11.0,2.3600000000000003,0.08461538461538462
1002,Fish Tales Witte tonijn in biologische olijfolie,3.19,193.0,,0.5,28.0,4.09,0.14507772020725387
1003,Delby's Escargots,3.79,89.0,15.0,0.6,18.3,4.21,0.20561797752808988
1004,John West Extravita gember & kurkuma tonijn,3.19,174.0,7.8,,25.0,2.65,0.14367816091954022
1006,AH Vegan chicken tenders,2.69,207.0,10.0,16.0,12.0,1.34,0.057971014492753624
1007,Alif Rosbief lapjes tuinkruiden,6.79,216.0,14.8,0.2,19.0,2.71,0.08796296296296297
1008,AH Wildzwijn biefstuk mosterdmarinade,9.6,168.0,9.6,0.4,20.0,3.9899999999999998,0.11904761904761904
1009,Boon Sate,3.99,224.0,10.4,18.5,11.3,1.33,0.05044642857142857
1011,Rio Mare Insalatissime tuna salad messicana,6.99,200.0,13.0,9.5,10.0,2.18,0.05
1012,Streeckgenoten Gepaneerde garnalen,1.99,256.0,16.0,14.0,13.0,1.9899999999999998,0.05078125
1013,Ortiz Sardines Glas,4.49,187.0,10.5,,23.0,2.3600000000000003,0.12299465240641712
1014,Alif Steak reepjes shoarma,6.99,172.0,7.5,5.1,20.0,2.79,0.11627906976744186
1015,Alif Steak reepjes naturel,6.79,155.0,7.2,,21.2,2.71,0.1367741935483871
1016,Omar Biefstuk,7.29,155.0,7.2,,21.2,2.91,0.1367741935483871
1017,Omar Angus beef burger,4.99,219.0,17.0,2.8,14.0,1.9899999999999998,0.0639269406392694
1018,AH Rundergehakt,6.49,263.0,20.0,0.8,20.0,1.29,0.07604562737642585
1019,Fish Tales Albacore tonijn spicy in olie bio 2-pack,3.19,193.0,,0.5,28.0,4.09,0.14507772020725387
1020,AH Onze boeren schnitzel,4.19,163.0,3.3,13.0,20.0,1.3900000000000001,0.12269938650306748
1021,Rio Mare Tuna for pasta arrabbiata,5.29,170.0,12.0,,11.0,3.3,0.06470588235294118
1022,Super Choice Butterfly shrimp,4.95,151.0,0.8,20.0,11.0,2.2,0.0728476821192053
1023,AH Scharrel kippensoeppakket,4.49,223.0,18.0,0.6,14.0,0.6900000000000001,0.06278026905829596
1024,AH BBQ cote de boeuf,14.99,325.0,28.0,1.2,17.0,3.84,0.052307692307692305
1025,AH Biologisch Kipborrelhapjes gemarineerd,1.95,212.0,15.0,0.7,18.0,0.64,0.08490566037735849
1026,Meesterstuk Rosbief,11.99,89.0,1.6,1.8,16.8,2.2,0.18876404494382024
1027,Fish Tales Skipjack tonijn in zonnebloemolie 2-pack,2.54,263.0,20.0,0.7,20.0,2.1100000000000003,0.07604562737642585
1028,Rio Mare Insalatissime tuna salad linzen,5.35,207.0,13.0,10.0,11.0,3.34,0.05314009661835749
1029,Fish Tales Gerookte mosselen in olie,2.54,229.0,13.0,4.1,24.0,1.69,0.10480349344978165
1030,Smaakt Tempeh,3.89,191.0,,11.0,17.0,0.97,0.08900523560209424
1031,AH Onze boeren carre,3.29,258.0,20.0,3.2,16.0,1.09,0.06201550387596899
1033,AH Crispy chicken wings,2.99,280.0,19.0,15.0,11.0,0.85,0.039285714285714285
1034,John West Twist tonijn panang curry,2.99,158.0,7.6,8.8,13.0,3.5100000000000002,0.08227848101265822
1035,John West Twist tonijn groene curry,2.99,146.0,6.8,6.6,1.4,3.5100000000000002,0.00958904109589041
1036,John West Zalm twist citroen tijm,2.99,141.0,7.5,,18.0,3.5100000000000002,0.1276595744680851
1037,Morjon Pilchards in tomatensaus,3.69,132.0,7.8,3.3,12.0,1.7,0.09090909090909091
1038,Unox Vega ballen in tomaten saus,3.99,105.0,3.4,11.0,,0.95,
1039,Streeckgenoten Gerookte hele makreel,3.21,351.0,30.1,,19.6,1.06,0.05584045584045585
1040,Ortiz Tonijn Borrelblikje,3.49,302.0,22.2,,25.6,3.1100000000000003,0.0847682119205298
1041,AH Zalmforel eitjes,5.99,181.0,7.8,,26.0,11.98,0.143646408839779
1042,John West Extravita olijf & lijnzaad tonijn,2.99,203.0,11.0,,26.0,2.4899999999999998,0.12807881773399016
1043,Oumph! Classic balls,3.99,185.0,10.0,7.7,13.0,1.42,0.07027027027027027
1044,Streeckgenoten Mosselen a la minute uit Yerseke,5.99,95.0,2.2,6.4,12.0,0.9199999999999999,0.12631578947368421
1045,John West Ansjovisfilet  in extra virgin olijfolie,2.15,177.0,,,26.2,4.7700000000000005,0.1480225988700565
1047,AH Vegan ballatjes in satsaus,2.99,195.0,13.0,9.7,8.5,0.5900000000000001,0.04358974358974359
1048,Rio Mare Tonijn limone e pepe nero,4.45,306.0,25.0,,20.0,4.2700000000000005,0.06535947712418301
1049,Unox Vega ballen in satesaus,3.99,156.0,8.5,10.0,8.4,0.95,0.05384615384615385
1050,Picard Hacao garnaal,4.29,144.0,3.1,20.0,8.8,2.52,0.061111111111111116
1051,AH Hertenbiefstuk truffelmarinade,8.25,166.0,9.3,0.4,20.0,3.29,0.12048192771084337
1052,Streeckgenoten Boeuf stroganoff,4.49,98.0,,,11.0,1.1199999999999999,0.11224489795918367
1053,Streeckgenoten Gerookte maatjesharing uit IJmuiden,2.99,150.0,9.8,0.2,15.0,1.9899999999999998,0.1
1054,Jos Poell Krokante cupjes naturel,2.09,550.0,33.0,50.0,11.0,2.9,0.02
1055,Jean Larnaudie Cuisses de canard maigre confites,16.99,227.0,14.0,0.5,25.0,1.3699999999999999,0.11013215859030837
1056,Wahid Kalfsbacon blokjes,3.99,289.0,24.8,,16.4,2.66,0.05674740484429065
1057,Picard Siu mai garnaal,3.99,150.0,4.4,18.0,8.6,2.21,0.05733333333333333
1058,AH Vegan mini boneless ribs,2.49,214.0,13.0,8.8,13.0,1.42,0.06074766355140187
1059,Wahid Grill kippenvleugels,4.29,213.0,13.6,0.5,22.2,1.42,0.10422535211267606
1060,Cavinoir Imperial selection,5.99,26.1,2.2,1.5,0.2,11.98,0.007662835249042145
1061,Rio Mare Tonijn in water 3-pack,5.29,97.0,0.5,,23.0,2.2,0.23711340206185566
1062,AH Half-om-half gehakt Fries gekruid,5.49,234.0,17.0,0.2,20.0,1.09,0.08547008547008547
1063,AH Kipshoarma schotel,3.99,120.0,2.9,16.0,6.3,0.8800000000000001,0.0525
1064,AH Biologisch Zalmfilet op huid,5.58,224.0,16.0,,20.0,3.18,0.08928571428571429
1065,Seasogood Visvrije tonijn citroen & zwarte peper,3.19,129.0,6.6,2.4,12.8,2.3600000000000003,0.09922480620155039
1066,Streeckgenoten Runder goulash,3.79,111.0,3.5,,14.0,0.9400000000000001,0.12612612612612611
1067,Des Champs Vert Franse scharrel zwartpootkip,14.48,135.0,5.5,0.3,21.0,0.9800000000000001,0.15555555555555556
1068,AH Vegan kaviaar,1.99,15.0,,,0.5,3.9799999999999995,0.03333333333333333
1069,John West Extravita citroen & basilicum,2.99,163.0,6.8,0.3,25.0,2.4899999999999998,0.15337423312883436
1070,Wahid Lasagne bolognese,3.99,140.0,,11.0,7.3,0.99,0.052142857142857144
1071,John West Twist tonijn rode curry,2.99,114.0,4.8,4.2,13.0,3.5100000000000002,0.11403508771929824
1073,AH Scampi's met kruiden,5.99,113.0,4.3,0.5,18.0,2.9899999999999998,0.1592920353982301
1074,The Dutch weedburger Sea sticks,2.62,216.0,8.9,26.1,5.7,1.9899999999999998,0.02638888888888889
1075,AH Biologisch Roerbakgarnalen,4.49,67.0,0.8,,15.0,3.59,0.22388059701492538
1076,AH Schnitzel XXL,3.39,172.0,4.2,14.0,19.0,1.35,0.11046511627906977
1077,AH Crispy chicken tenders,4.99,244.0,9.9,15.0,23.0,1.42,0.0942622950819672
1078,Garden Gourmet Gegrilde stukjes,3.99,226.0,11.0,3.3,25.0,1.53,0.11061946902654868
1079,AH Beef rendang,4.12,153.0,4.9,15.0,12.0,1.3699999999999999,0.0784313725490196
1080,Fish Tales Ansjovisfilet in oo met kappertjes,2.09,175.0,7.6,,26.6,6.2,0.152
1081,AH Gourmetschotel,9.99,215.0,15.0,0.8,19.0,2.42,0.08837209302325581
1083,AH Scharrel kipbraadsticks met bot,4.49,153.0,,,18.0,0.8300000000000001,0.11764705882352941
1084,AH Vegan veldbonen worstjes,3.25,163.0,8.2,7.3,12.0,1.44,0.0736196319018405
1085,Rio Mare Tonijn peperoncino,4.59,323.0,27.0,,20.0,3.53,0.06191950464396285
1086,AH Sat babi malse stukjes varkenvlees,2.19,215.0,11.0,15.0,13.0,1.56,0.06046511627906977
