web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665128213-51","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Ah tijgerbrood volk hf","https://www.ah.nl/producten/product/wi231533/ah-ah-tijgerbrood-volk-hf","1.05","933 kJ (221 kcal)","Vet1.8 g","Koolhydraten36 g","null","Eiwitten12 g"
"1665128216-52","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Rb picolientje","https://www.ah.nl/producten/product/wi231532/ah-rb-picolientje","0.54","1795 kJ (429 kcal)","Vet22.1 g","Koolhydraten50.1 g","null","Eiwitten6.8 g"
"1665128218-53","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Ah kaas croissant","https://www.ah.nl/producten/product/wi230859/ah-ah-kaas-croissant","0.89","1295 kJ (310 kcal)","Vet17 g","Koolhydraten30 g","null","Eiwitten8.5 g"
"1665128220-54","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Liefde & Passie Beurre","https://www.ah.nl/producten/product/wi230845/ah-liefde-en-passie-beurre","1.49","1073 kJ (253 kcal)","Vet1.8 g","Koolhydraten49 g","null","Eiwitten8.9 g"
"1665128223-55","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Liefde & Passie Cereales","https://www.ah.nl/producten/product/wi230844/ah-liefde-en-passie-cereales","1.49","1037 kJ (246 kcal)","Vet4 g","Koolhydraten35 g","null","Eiwitten14 g"
"1665128225-56","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Liefde & Passie Spelt","https://www.ah.nl/producten/product/wi230842/ah-liefde-en-passie-spelt","2.99","1356 kJ (323 kcal)","Vet10 g","Koolhydraten44 g","null","Eiwitten12 g"
"1665128227-57","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Liefde & Passie Rogge","https://www.ah.nl/producten/product/wi230841/ah-liefde-en-passie-rogge","2.49","982 kJ (232 kcal)","Vet1.1 g","Koolhydraten44 g","null","Eiwitten9.1 g"
"1665128230-58","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Liefde & Passie Meergranen","https://www.ah.nl/producten/product/wi230840/ah-liefde-en-passie-meergranen","2.59","1276 kJ (302 kcal)","Vet4.6 g","Koolhydraten50 g","null","Eiwitten13 g"
"1665128232-59","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Liefde & Passie Volkoren","https://www.ah.nl/producten/product/wi230839/ah-liefde-en-passie-volkoren","2.99","977 kJ (231 kcal)","Vet1.5 g","Koolhydraten38 g","null","Eiwitten13 g"
"1665128234-60","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH carrot cake","https://www.ah.nl/producten/product/wi230829/ah-carrot-cake","0.89","1630 kJ (390 kcal)","Vet20 g","Koolhydraten46 g","null","Eiwitten5 g"
"1665128236-61","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Kersenflappen met room 4 st","https://www.ah.nl/producten/product/wi230827/ah-kersenflappen-met-room-4-st","3.50","1347 kJ (323 kcal)","Vet19 g","Koolhydraten34 g","null","Eiwitten3.4 g"
"1665128239-62","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Boeren vlk lijnz","https://www.ah.nl/producten/product/wi230822/ah-boeren-vlk-lijnz","1.79","1061 kJ (252 kcal)","Vet4.2 g","Koolhydraten37 g","null","Eiwitten13 g"
"1665128241-63","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Mini boterkoek","https://www.ah.nl/producten/product/wi230818/ah-mini-boterkoek","0.99","1939 kJ (463 kcal)","Vet23 g","Koolhydraten59 g","null","Eiwitten4.4 g"
"1665128243-64","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Stevig spelt half","https://www.ah.nl/producten/product/wi230797/ah-stevig-spelt-half","1.49","1043 kJ (247 kcal)","Vet2.2 g","Koolhydraten45 g","null","Eiwitten9.1 g"
"1665128246-65","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Desem pistolet bruin meergranen","https://www.ah.nl/producten/product/wi230789/ah-desem-pistolet-bruin-meergranen","0.95","1027 kJ (243 kcal)","Vet2.7 g","Koolhydraten42 g","null","Eiwitten10 g"
"1665128248-66","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Desem pistolet wit","https://www.ah.nl/producten/product/wi230788/ah-desem-pistolet-wit","0.95","1029 kJ (243 kcal)","Vet0.8 g","Koolhydraten50 g","null","Eiwitten7.6 g"
"1665128250-67","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Les Pains Triomphe licht meerzaden half","https://www.ah.nl/producten/product/wi230787/ah-les-pains-triomphe-licht-meerzaden-half","1.29","1155 kJ (274 kcal)","Vet5.2 g","Koolhydraten43 g","null","Eiwitten12 g"
"1665128253-68","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Les Pains Triomphe heel","https://www.ah.nl/producten/product/wi230786/ah-les-pains-triomphe-heel","2.49","1155 kJ (274 kcal)","Vet5.2 g","Koolhydraten43 g","null","Eiwitten12 g"
"1665128255-69","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Choc & Mac nut cookie","https://www.ah.nl/producten/product/wi230783/ah-choc-en-mac-nut-cookie","1.50","1951 kJ (466 kcal)","Vet23 g","Koolhydraten57 g","null","Eiwitten7.3 g"
"1665128257-70","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH schnittbroodje wit","https://www.ah.nl/producten/product/wi230769/ah-schnittbroodje-wit","0.25","1060 kJ (250 kcal)","Vet1 g","Koolhydraten50 g","null","Eiwitten8.8 g"
"1665128260-71","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Suikerwafel","https://www.ah.nl/producten/product/wi230768/ah-suikerwafel","0.89","1644 kJ (393 kcal)","Vet20 g","Koolhydraten47 g","null","Eiwitten5.7 g"
"1665128262-72","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Muffin vanille met chocolade stukjes","https://www.ah.nl/producten/product/wi230758/ah-muffin-vanille-met-chocolade-stukjes","0.85","1895 kJ (455 kcal)","Vet29 g","Koolhydraten42 g","null","Eiwitten5.4 g"
"1665128264-73","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Muffin dubbelchocolade","https://www.ah.nl/producten/product/wi230757/ah-muffin-dubbelchocolade","0.85","1802 kJ (432 kcal)","Vet27 g","Koolhydraten40 g","null","Eiwitten5.8 g"
"1665128266-74","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Berlinerbol","https://www.ah.nl/producten/product/wi230754/ah-berlinerbol","0.50","1235 kJ (294 kcal)","Vet11 g","Koolhydraten43 g","null","Eiwitten5.2 g"
