web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665117885-161","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Rundergehakt","https://www.ah.nl/producten/product/wi506328/ah-rundergehakt","6.49","1094 kJ (263 kcal)","Vet20 g","Koolhydraten0.8 g","Prijs per KG € 12,98","Eiwitten20 g"
"1665117887-162","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Fish Tales Albacore tonijn spicy in olie bio 2-pack","https://www.ah.nl/producten/product/wi496875/fish-tales-albacore-tonijn-spicy-in-olie-bio-2-pack","3.19","193 kcal (809 kJ)","Vet9 g","Koolhydraten< 0.5 g","Prijs per KG € 40,90","Eiwitten28 g"
"1665117889-163","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Onze boeren schnitzel","https://www.ah.nl/producten/product/wi483915/ah-onze-boeren-schnitzel","4.19","688 kJ (163 kcal)","Vet3.3 g","Koolhydraten13 g","Prijs per KG € 13,97","Eiwitten20 g"
"1665117892-164","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Rio Mare Tuna for pasta arrabbiata","https://www.ah.nl/producten/product/wi329153/rio-mare-tuna-for-pasta-arrabbiata","5.29","170 kcal (707 kJ)","Vet12 g","Koolhydraten4 g","Normale prijs per KG € 33,06","Eiwitten11 g"
"1665117894-165","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Super Choice Butterfly shrimp","https://www.ah.nl/producten/product/wi233718/super-choice-butterfly-shrimp","4.95","151 kcal (636 kJ)","Vet0.8 g","Koolhydraten20 g","Prijs per KG € 22,00","Eiwitten11 g"
"1665117896-166","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Scharrel kippensoeppakket","https://www.ah.nl/producten/product/wi531858/ah-scharrel-kippensoeppakket","4.49","925 kJ (223 kcal)","Vet18 g","Koolhydraten0.6 g","Prijs per KG € 6,90","Eiwitten14 g"
"1665117898-167","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH BBQ cote de boeuf","https://www.ah.nl/producten/product/wi517291/ah-bbq-cote-de-boeuf","14.99","1348 kJ (325 kcal)","Vet28 g","Koolhydraten1.2 g","Prijs per KG € 38,44","Eiwitten17 g"
"1665117901-168","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Biologisch Kipborrelhapjes gemarineerd","https://www.ah.nl/producten/product/wi517100/ah-biologisch-kipborrelhapjes-gemarineerd","1.95","880 kJ (212 kcal)","Vet15 g","Koolhydraten0.7 g","Prijs per KG € 6,49","Eiwitten18 g"
"1665117903-169","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Meesterstuk Rosbief","https://www.ah.nl/producten/product/wi494519/meesterstuk-rosbief","11.99","376 kJ (89 kcal)","Vet1.6 g","Koolhydraten1.8 g","Prijs per KG € 22,08","Eiwitten16.8 g"
"1665117905-170","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Fish Tales Skipjack tonijn in zonnebloemolie 2-pack","https://www.ah.nl/producten/product/wi476979/fish-tales-skipjack-tonijn-in-zonnebloemolie-2-pack","2.54","263 kcal (1094 kJ)","Vet20 g","Koolhydraten< 0.7 g","Normale prijs per KG € 21,19","Eiwitten20 g"
