web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665090444-85","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Maaltijd penne gegrilde groente","https://www.ah.nl/producten/product/wi531117/ah-maaltijd-penne-gegrilde-groente","2.99","574 kJ (136 kcal)","Vet2.2 g","Koolhydraten24 g","Prijs per KG € 6,64","Eiwitten4.1 g"
"1665090446-86","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Gepaneerde schnitzel in stroganoffsaus","https://www.ah.nl/producten/product/wi380438/chef-martin-gepaneerde-schnitzel-in-stroganoffsaus","4.99","493 kJ (118 kcal)","Vet5.1 g","Koolhydraten11.9 g","Prijs per KG € 11,09","Eiwitten5.6 g"
"1665090449-87","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Bapao kip 4-pack","https://www.ah.nl/producten/product/wi520380/ah-bapao-kip-4-pack","4.36","null","null","null","null","null"
"1665090451-88","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Chef Martin Hutspot met runderstoofpotje","https://www.ah.nl/producten/product/wi380416/chef-martin-hutspot-met-runderstoofpotje","4.62","342 kJ (82 kcal)","Vet1.4 g","Koolhydraten9.7 g","Prijs per KG € 7,70","Eiwitten6.2 g"
"1665090453-89","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Loriana La piadina piadapizza","https://www.ah.nl/producten/product/wi368922/loriana-la-piadina-piadapizza","3.19","1521 kJ (362 kcal)","Vet14 g","Koolhydraten49 g","Prijs per KG € 8,51","Eiwitten8.4 g"
"1665090456-90","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Mini broodjes pakket","https://www.ah.nl/producten/product/wi523152/ah-mini-broodjes-pakket","5.37","null","null","null","null","null"
"1665090458-91","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Magioni pizzabodems voordeelpakket","https://www.ah.nl/producten/product/wi520405/magioni-pizzabodems-voordeelpakket","7.58","null","null","null","null","null"
"1665090460-92","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Burritos verspakket (Compleet)","https://www.ah.nl/producten/product/wi514387/ah-burritos-verspakket-compleet","12.82","null","null","null","null","null"
"1665090463-93","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","Soupalicious Thaise rode currysoep","https://www.ah.nl/producten/product/wi505780/soupalicious-thaise-rode-currysoep","3.69","298.1 kJ (70.7 kcal)","Vet4.6 g","Koolhydraten6.1 g","Prijs per LT € 7,38","Eiwitten1.2 g"
"1665090465-94","https://www.ah.nl/producten/salades-pizza-maaltijden?page=30","AH Penne Mediterranee met kip","https://www.ah.nl/producten/product/wi437662/ah-penne-mediterranee-met-kip","3.39","415 kJ (99 kcal)","Vet2.4 g","Koolhydraten13 g","Prijs per KG € 7,14","Eiwitten5.3 g"
